"","Case_ID","Sample_ID","Income_2000","Income_2002","Income_2004","Income_2006","Income_2008","Income_2010","Age_2010","Race","Sex","Highest_Grade_Completed","Marital_Status","Region"
"1",2,5,0,0,0,5500,5000,6000,51,"Non-Black/Non-Hispanic","Female","1ST YEAR COLLEGE","Married","Northeast"
"2",6,1,40000,43500,56500,65000,86000,90300,49,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","North Central"
"3",7,1,25000,27500,30000,19000,32500,0,45,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","Northeast"
"4",8,6,27400,31500,34000,36000,41000,41999,51,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"5",9,1,52000,50000,55000,65000,50000,52000,46,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"6",14,5,48000,66000,89000,116000,85000,95000,46,"Non-Black/Non-Hispanic","Female","6TH YEAR COLLEGE","Divorced","Northeast"
"7",15,1,0,0,0,0,0,0,45,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"8",16,5,38000,39000,65000,71000,66000,64000,51,"Non-Black/Non-Hispanic","Female","1ST YEAR COLLEGE","Divorced","Northeast"
"9",17,1,48000,77000,62000,43000,50000,50000,53,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"10",18,1,120000,236000,80000,120000,1e+05,60000,51,"Non-Black/Non-Hispanic","Male","1ST YEAR COLLEGE","Divorced","West"
"11",21,5,82000,110000,1e+05,279816,307823,312324,48,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"12",22,5,36000,35000,10000,45300,45600,40000,47,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"13",25,5,20000,20000,20000,23000,33000,32760,50,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"14",27,5,13126,0,0,0,15769,16000,49,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"15",29,5,50000,61000,62000,85000,62000,30000,49,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"16",30,5,0,0,36000,0,0,0,51,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married",NA
"17",31,4,26000,36000,36000,40000,46000,0,46,"Hispanic","Male","12TH GRADE","Married","West"
"18",34,1,35000,25000,30000,279816,3600,30000,51,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Divorced","Northeast"
"19",36,1,0,65000,115000,0,30000,0,47,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"20",37,5,13000,30000,34000,37000,38000,44000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"21",38,5,44000,58000,61158,70000,87000,97500,47,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"22",40,2,0,1600,700,0,0,40000,50,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"23",41,2,115000,105000,73000,120000,1e+05,130000,47,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"24",42,1,50000,45000,48000,45000,51000,48000,46,"Non-Black/Non-Hispanic","Male","12TH GRADE","Married","Northeast"
"25",43,6,6000,0,0,0,0,0,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Separated","Northeast"
"26",44,5,0,0,0,7200,20280,29120,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"27",47,1,65000,57995,42000,66309,68000,68000,51,"Non-Black/Non-Hispanic","Male","12TH GRADE","Never Married","Northeast"
"28",49,5,33361,35000,39900,34000,0,55000,51,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"29",50,5,27000,21000,30000,0,36400,49500,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Married","Northeast"
"30",53,4,1200,0,0,325,2453,6000,46,"Hispanic","Male","12TH GRADE","Never Married","West"
"31",57,5,2500,1200,9000,12000,51000,61000,51,"Non-Black/Non-Hispanic","Female","12TH GRADE","Divorced","Northeast"
"32",61,5,40000,52000,55500,63000,65000,0,47,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"33",62,5,34000,27000,29000,30000,31800,46000,45,"Non-Black/Non-Hispanic","Female","1ST YEAR COLLEGE","Divorced","Northeast"
"34",63,1,115000,120000,120000,108000,120000,140000,49,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"35",68,5,0,0,0,0,0,0,47,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Married","Northeast"
"36",69,1,70000,71000,94000,120000,147000,146000,45,"Non-Black/Non-Hispanic","Male","6TH YEAR COLLEGE","Married","Northeast"
"37",72,5,36000,36000,37000,44000,40500,45000,50,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Never Married","Northeast"
"38",73,1,216200,236000,120000,279816,150000,110000,46,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"39",76,1,30000,36000,37590,37000,50000,70000,45,"Non-Black/Non-Hispanic","Male","2ND YEAR COLLEGE","Married","Northeast"
"40",77,5,56000,68000,68977,95000,75000,110000,45,"Non-Black/Non-Hispanic","Female","4TH YEAR COLLEGE","Never Married","Northeast"
"41",80,1,15500,10500,13000,13000,16000,32000,46,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Never Married","West"
"42",83,3,0,0,0,0,0,0,49,"Black","Male","10TH GRADE","Never Married","Northeast"
"43",84,3,0,12000,0,0,0,0,46,"Black","Male","11TH GRADE","Divorced","Northeast"
"44",88,3,31000,0,0,24000,34000,30000,52,"Black","Male","4TH YEAR COLLEGE","Married","Northeast"
"45",90,1,90000,106500,105000,15000,120000,128000,51,"Non-Black/Non-Hispanic","Male","4TH YEAR COLLEGE","Married","Northeast"
"46",92,5,17900,19000,21000,25000,24000,25940,47,"Non-Black/Non-Hispanic","Female","12TH GRADE","Divorced","Northeast"
"47",93,1,40000,73000,74000,80365,96000,85000,45,"Non-Black/Non-Hispanic","Male","12TH GRADE","Divorced","North Central"
"48",94,1,33000,42000,40000,42000,42000,44000,53,"Non-Black/Non-Hispanic","Male","11TH GRADE","Married","Northeast"
"49",95,5,20000,32000,28000,30000,44000,46000,49,"Non-Black/Non-Hispanic","Female","12TH GRADE","Divorced","Northeast"
"50",96,6,38000,28000,38000,21500,45000,53500,48,"Non-Black/Non-Hispanic","Female","12TH GRADE","Never Married","Northeast"
"51",97,5,28000,32000,44000,49000,51000,52000,51,"Non-Black/Non-Hispanic","Female","2ND YEAR COLLEGE","Married","Northeast"
"52",98,6,0,0,0,0,0,0,52,"Non-Black/Non-Hispanic","Female","1ST YEAR COLLEGE","Married","Northeast"
