Case_ID,Sample_ID,Age_2010,Race,Sex,Highest_Grade_Completed,Marital_Status,Region,Income_Year,Income,avg_LT_rate
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2000,0,6.186852589641434
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2002,0,5.480178064516129
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2004,0,4.845420000000001
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2006,5500,4.76882
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2008,5000,4.556494023904381
2,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Married,Northeast,2010,6000,3.9247597609561753
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2000,40000,6.186852589641434
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2002,43500,5.480178064516129
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2004,56500,4.845420000000001
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2006,65000,4.76882
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2008,86000,4.556494023904381
6,1,49,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,North Central,2010,90300,3.9247597609561753
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2000,25000,6.186852589641434
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2002,27500,5.480178064516129
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2004,30000,4.845420000000001
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2006,19000,4.76882
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2008,32500,4.556494023904381
7,1,45,Non-Black/Non-Hispanic,Male,12TH GRADE,Divorced,Northeast,2010,0,3.9247597609561753
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2000,27400,6.186852589641434
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2002,31500,5.480178064516129
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2004,34000,4.845420000000001
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2006,36000,4.76882
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2008,41000,4.556494023904381
8,6,51,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2010,41999,3.9247597609561753
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2000,52000,6.186852589641434
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2002,50000,5.480178064516129
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2004,55000,4.845420000000001
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2006,65000,4.76882
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2008,50000,4.556494023904381
9,1,46,Non-Black/Non-Hispanic,Male,2ND YEAR COLLEGE,Married,Northeast,2010,52000,3.9247597609561753
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2000,48000,6.186852589641434
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2002,66000,5.480178064516129
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2004,89000,4.845420000000001
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2006,116000,4.76882
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2008,85000,4.556494023904381
14,5,46,Non-Black/Non-Hispanic,Female,6TH YEAR COLLEGE,Divorced,Northeast,2010,95000,3.9247597609561753
15,1,45,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2000,0,6.186852589641434
15,1,45,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2002,0,5.480178064516129
15,1,45,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2004,0,4.845420000000001
15,1,45,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2006,0,4.76882
15,1,45,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2008,0,4.556494023904381
15,1,45,Non-Black/Non-Hispanic,Male,4TH YEAR COLLEGE,Married,Northeast,2010,0,3.9247597609561753
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2000,38000,6.186852589641434
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2002,39000,5.480178064516129
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2004,65000,4.845420000000001
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2006,71000,4.76882
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2008,66000,4.556494023904381
16,5,51,Non-Black/Non-Hispanic,Female,1ST YEAR COLLEGE,Divorced,Northeast,2010,64000,3.9247597609561753
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2000,48000,6.186852589641434
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2002,77000,5.480178064516129
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2004,62000,4.845420000000001
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2006,43000,4.76882
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2008,50000,4.556494023904381
17,1,53,Non-Black/Non-Hispanic,Male,12TH GRADE,Married,Northeast,2010,50000,3.9247597609561753
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2000,120000,6.186852589641434
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2002,236000,5.480178064516129
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2004,80000,4.845420000000001
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2006,120000,4.76882
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2008,100000,4.556494023904381
18,1,51,Non-Black/Non-Hispanic,Male,1ST YEAR COLLEGE,Divorced,West,2010,60000,3.9247597609561753
21,5,48,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2000,82000,6.186852589641434
21,5,48,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2002,110000,5.480178064516129
21,5,48,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2004,100000,4.845420000000001
21,5,48,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2006,279816,4.76882
21,5,48,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2008,307823,4.556494023904381
21,5,48,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2010,312324,3.9247597609561753
22,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2000,36000,6.186852589641434
22,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2002,35000,5.480178064516129
22,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2004,10000,4.845420000000001
22,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2006,45300,4.76882
22,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2008,45600,4.556494023904381
22,5,47,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2010,40000,3.9247597609561753
25,5,50,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2000,20000,6.186852589641434
25,5,50,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2002,20000,5.480178064516129
25,5,50,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2004,20000,4.845420000000001
25,5,50,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2006,23000,4.76882
25,5,50,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2008,33000,4.556494023904381
25,5,50,Non-Black/Non-Hispanic,Female,2ND YEAR COLLEGE,Married,Northeast,2010,32760,3.9247597609561753
27,5,49,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2000,13126,6.186852589641434
27,5,49,Non-Black/Non-Hispanic,Female,4TH YEAR COLLEGE,Married,Northeast,2002,0,5.480178064516129
